taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2481784	Numenius phaeopus (Linnaeus, 1758)	2481784	Numenius phaeopus (Linnaeus, 1758)	420	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Numenius	2481781	Numenius phaeopus	2481784	LC
2484214	Pseudoleistes guirahuro (Vieillot, 1819)	2484214	Pseudoleistes guirahuro (Vieillot, 1819)	48	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Pseudoleistes	2484212	Pseudoleistes guirahuro	2484214	LC
4717443	Iphitrea Baly, 1864	4717443	Iphitrea Baly, 1864	1	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Iphitrea	4717443			
4849487	Leuconerpes Swainson, 1837	2478067	Melanerpes Swainson, 1832	4	GENUS	SYNONYM	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Melanerpes	2478067			
5208315	Aequidens potaroensis Eigenmann, 1912	5208315	Aequidens potaroensis Eigenmann, 1912	19	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Cichlidae	8522	Aequidens	5208282	Aequidens potaroensis	5208315	NE
5230324	Pachyramphus viridis (Vieillot, 1816)	5230324	Pachyramphus viridis (Vieillot, 1816)	1036	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cotingidae	5236	Pachyramphus	2486256	Pachyramphus viridis	5230324	LC
5230382	Cotinga maynana (Linnaeus, 1766)	5230382	Cotinga maynana (Linnaeus, 1766)	57	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cotingidae	5236	Cotinga	5429264	Cotinga maynana	5230382	LC
5844325	Falco sparverius cinnamominus Swainson, 1838	5844325	Falco sparverius cinnamominus Swainson, 1838	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Falco	2480996	Falco sparverius	9685907	
6168196	Corydoras blochi vittatus Nijssen, 1971	2342784	Corydoras vittatus Nijssen, 1971	1	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44			Siluriformes	708	Callichthyidae	8975	Corydoras	2342597	Corydoras vittatus	2342784	
6171511	Thripophaga fusciceps obidensis Todd, 1925	6171511	Thripophaga fusciceps obidensis Todd, 1925	6	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Thripophaga	2486002	Thripophaga fusciceps	2486003	
6174416	Terenotriccus erythrurus brunneifrons Hellmayr, 1927	6174416	Terenotriccus erythrurus brunneifrons Hellmayr, 1927	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Terenotriccus	2484021	Terenotriccus erythrurus	2484022	
7191660	Granatellus pelzelni pelzelni	7191660	Granatellus pelzelni pelzelni	28	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Granatellus	7774100	Granatellus pelzelni	2489620	
7192655	Brotogeris cyanoptera cyanoptera	7192655	Brotogeris cyanoptera cyanoptera	4	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Brotogeris	2479561	Brotogeris cyanoptera	2479576	
7809830	Diaperis Geoffroy, 1762	7809830	Diaperis Geoffroy, 1762	9	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Tenebrionidae	7857	Diaperis	7809830			
8618600	Gauromydas mystaceus (Wiedemann, 1830)	5080963	Mydas mystaceus (Wiedemann, 1831)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Mydidae	9497	Mydas	1566547	Mydas mystaceus	5080963	NE
8870237	Crenicichla monicae Kullander & Varella, 2015	8870237	Crenicichla monicae Kullander & Varella, 2015	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Cichlidae	8522	Crenicichla	2370916	Crenicichla monicae	8870237	NE
8992458	Liposarcus Günther, 1864	8992458	Liposarcus Günther, 1864	6	GENUS	DOUBTFUL	Animalia	1	Chordata	44			Siluriformes	708	Loricariidae	5158	Liposarcus	8992458			
9440693	Platyomus marmoratus (Marshall, 1922)	1241287	Pseudocyphus marmoratus Marshall, 1922	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Curculionidae	4239	Pseudocyphus	1241272	Pseudocyphus marmoratus	1241287	NE
9527557	Odontocheila cayennensis (Dejean, 1825)	7426763	Odontocheila cajennensis (Fabricius, 1787)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Odontocheila	4721818	Odontocheila cajennensis	7426763	NE
9559768	Mesocordylus apiciclava Vaurie, 1970	9559768	Mesocordylus apiciclava Vaurie, 1970	12	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Dryophthoridae	8494	Mesocordylus	1170084	Mesocordylus apiciclava	9559768	NE
9838295	BOLD:ADE5238	9838295	BOLD:ADE5238	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338					
10078120	BOLD:AAB1965	10078120	BOLD:AAB1965	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pipridae	5270	Pipra	2487619	Pipra erythrocephala	2487629	
10134580	BOLD:AAC7987	10134580	BOLD:AAC7987	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Muscidae	5564	Haematobia	1531900	Haematobia irritans	1531912	
10282195	BOLD:AAB5375	10282195	BOLD:AAB5375	9	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Elasmobranchii	121	Myliobatiformes	8214029	Potamotrygonidae	2191	Potamotrygon	2419329			
10513722	BOLD:ABW4249	10513722	BOLD:ABW4249	9	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Chironomidae	3343					
10635713	BOLD:AAC0711	10635713	BOLD:AAC0711	4	UNRANKED	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Sparidae	5068	Archosargus	2392537	Archosargus rhomboidalis	2392546	
10849762	BOLD:ADE8653	10849762	BOLD:ADE8653	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Ceratopogonidae	3340					
10855800	BOLD:ADE5126	10855800	BOLD:ADE5126	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854					
10876600	BOLD:ADE8088	10876600	BOLD:ADE8088	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Ceratopogonidae	3340					
10880163	BOLD:ADE7811	10880163	BOLD:ADE7811	6	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tabanidae	6919					
10881389	BOLD:ADE9207	10881389	BOLD:ADE9207	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854					
11187715	Nyssomyia urbinatti Galati & Galvis Ovallos, 2012	11187715	Nyssomyia urbinatti Galati & Galvis Ovallos, 2012	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Nyssomyia	1660961	Nyssomyia urbinatti	11187715	NE
12207909	BOLD:AEW3071	12207909	BOLD:AEW3071	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338					
